Date,Volume,Turnover,Open,High,Low,Close,Change,Trades,Daily_Return,Log_Return,MA20,MA60,Volatility20,Volume_MA20,Volume_Ratio,Return_Outlier,Regime
2021-01-04,39489959.0,21127581248.0,530.0,540.0,528.0,536.0,6.0,33316.0,,,,,,,,False,Insufficient history
2021-01-05,34839391.0,18761831567.0,536.0,542.0,535.0,542.0,6.0,28512.0,0.011194029850746245,0.011131840368844199,,,,,,False,Insufficient history
2021-01-06,55614434.0,30572783229.0,555.0,555.0,541.0,549.0,7.0,55462.0,0.012915129151291449,0.01283244006988436,,,,,,False,Insufficient history
2021-01-07,53392763.0,30018630685.0,554.0,570.0,553.0,565.0,16.0,47905.0,0.02914389799635697,0.02872728963691027,,,,,,False,Insufficient history
2021-01-08,62957148.0,36339702855.0,580.0,580.0,571.0,580.0,15.0,56426.0,0.026548672566371723,0.026202372394024117,,,,,,False,Insufficient history
2021-01-11,52771778.0,30535694908.0,577.0,584.0,574.0,584.0,4.0,49539.0,0.006896551724137945,0.0068728792877620504,,,,,,False,Insufficient history
2021-01-12,52605212.0,30958142918.0,583.0,597.0,582.0,591.0,7.0,59595.0,0.011986301369863117,0.011915034577871244,,,,,,False,Insufficient history
2021-01-13,75707681.0,45419255149.0,595.0,605.0,593.0,605.0,14.0,59966.0,0.02368866328257191,0.02341244062474326,,,,,,False,Insufficient history
2021-01-14,90309708.0,53477747672.0,587.0,597.0,587.0,592.0,-13.0,111849.0,-0.02148760330578514,-0.021721823146835798,,,,,,False,Insufficient history
2021-01-15,100998199.0,61876473170.0,621.0,625.0,601.0,601.0,9.0,105961.0,0.01520270270270263,0.015088299651201826,,,,,,False,Insufficient history
2021-01-18,50388664.0,30406611574.0,608.0,608.0,594.0,607.0,6.0,49008.0,0.009983361064891838,0.009933856524290675,,,,,,False,Insufficient history
2021-01-19,52947466.0,32934404720.0,618.0,632.0,613.0,627.0,20.0,55490.0,0.03294892915980241,0.032417749573422534,,,,,,False,Insufficient history
2021-01-20,95484470.0,61279319857.0,633.0,650.0,631.0,647.0,20.0,95577.0,0.03189792663476876,0.031399753867979885,,,,,,False,Insufficient history
2021-01-21,97590371.0,64624578866.0,640.0,679.0,640.0,673.0,26.0,115004.0,0.040185471406491535,0.039399035143827275,,,,,,False,Insufficient history
2021-01-22,134238314.0,88023707664.0,649.0,665.0,649.0,649.0,-24.0,235186.0,-0.03566121842496284,-0.03631261294063779,,,,,,False,Insufficient history
2021-01-25,98608285.0,62583576696.0,642.0,646.0,626.0,633.0,-16.0,154134.0,-0.024653312788906034,-0.024962294559913834,,,,,,False,Insufficient history
2021-01-26,114797609.0,71638808826.0,632.0,640.0,610.0,617.0,-16.0,177764.0,-0.025276461295418606,-0.025601398238788337,,,,,,False,Insufficient history
2021-01-27,72823691.0,44931754892.0,618.0,625.0,611.0,615.0,-2.0,77274.0,-0.0032414910858995505,-0.0032467560988699807,,,,,,False,Insufficient history
2021-01-28,104181514.0,62647021616.0,600.0,608.0,598.0,601.0,-14.0,157835.0,-0.02276422764227637,-0.023027333271310235,,,,,,False,Insufficient history
2021-01-29,96875889.0,58399782288.0,619.0,619.0,591.0,591.0,-10.0,129394.0,-0.016638935108153063,-0.016778917129109366,600.25,,,76831127.3,1.2608937601778492,False,Insufficient history
2021-02-01,70161939.0,42004241697.0,595.0,612.0,587.0,611.0,20.0,81346.0,0.03384094754653133,0.03328094176549715,604.0,,0.37572822154810126,78364726.3,0.8953255158628686,False,Insufficient history
2021-02-02,80724207.0,50938461582.0,629.0,638.0,622.0,632.0,21.0,82687.0,0.03436988543371533,0.03379243497526221,608.5,,0.3880965422969076,80658967.1,1.000808836293665,False,Insufficient history
2021-02-03,59763227.0,37926170035.0,638.0,642.0,630.0,630.0,-2.0,56515.0,-0.0031645569620253333,-0.0031695747612790672,612.55,,0.3895867211446046,80866406.75,0.7390365097432748,False,Insufficient history
2021-02-04,47547873.0,29765963971.0,626.0,632.0,620.0,627.0,-3.0,44668.0,-0.004761904761904745,-0.004773278752657659,615.65,,0.3827764565626996,80574162.25,0.5901131537982575,False,Insufficient history
2021-02-05,57350831.0,36435290641.0,638.0,641.0,631.0,632.0,5.0,51140.0,0.00797448165869219,0.007942853513936731,618.25,,0.37482204956776594,80293846.4,0.7142618465965033,False,Insufficient history
2021-02-17,115578402.0,76728732025.0,663.0,668.0,660.0,663.0,31.0,91925.0,0.049050632911392444,0.04788559603900512,622.2,,0.4068009891813331,83434177.6,1.3852644722418888,True,Insufficient history
2021-02-18,54520341.0,36024245089.0,664.0,665.0,656.0,660.0,-3.0,49914.0,-0.004524886877828038,-0.004535155165391262,625.65,,0.4081609394324916,83529934.05,0.6527042265754069,False,Insufficient history
2021-02-19,51651844.0,33676514428.0,656.0,657.0,647.0,652.0,-8.0,63171.0,-0.012121212121212088,-0.012195273093818243,628.0,,0.40719332937179575,82327142.2,0.6273975097364669,False,Insufficient history
2021-02-22,39512078.0,25885948680.0,660.0,662.0,650.0,650.0,-2.0,47116.0,-0.0030674846625766694,-0.0030721990369701403,630.9,,0.3969881541344441,79787260.7,0.4952178788110719,False,Insufficient history
2021-02-23,52868029.0,33779796222.0,641.0,643.0,633.0,641.0,-9.0,73349.0,-0.013846153846153841,-0.01394290596901275,632.9,,0.40044214219301805,77380752.2,0.6832193729954462,False,Insufficient history
2021-02-24,80010637.0,50333904697.0,627.0,636.0,625.0,625.0,-16.0,138264.0,-0.0249609984399376,-0.02527780718426854,633.8,,0.4120129946849469,78861850.85,1.0145670706129515,False,Insufficient history
2021-02-25,45279276.0,28634410089.0,636.0,636.0,628.0,635.0,10.0,46506.0,0.016000000000000014,0.015873349156290163,634.2,,0.3991999662103758,78478441.35,0.5769645168927657,False,Insufficient history
2021-02-26,137933162.0,84194194399.0,611.0,618.0,606.0,606.0,-29.0,212428.0,-0.04566929133858266,-0.04674501282337718,632.15,,0.4140720916410712,80600875.95,1.7113109550517236,True,Insufficient history
2021-03-02,57792973.0,35565213485.0,621.0,622.0,609.0,609.0,3.0,71325.0,0.004950495049504955,0.004938281640582577,628.95,,0.3831254808870358,78611006.05,0.7351766108074126,False,Insufficient history
2021-03-03,61171387.0,37550028241.0,609.0,622.0,601.0,622.0,13.0,57677.0,0.021346469622331776,0.021121825029282504,627.6,,0.3754016910862245,74957659.7,0.8160792005089774,False,Insufficient history
2021-03-04,75508388.0,45662897489.0,609.0,611.0,601.0,601.0,-21.0,143916.0,-0.0337620578778135,-0.03434515820397186,626.0,,0.3840308616011028,73802664.85,1.0231119452592505,False,Insufficient history
2021-03-05,85579527.0,50968119396.0,588.0,605.0,584.0,601.0,0.0,127693.0,0.0,0.0,625.2,,0.3743437716959963,72341760.75,1.182989273591879,False,Insufficient history
2021-03-08,47676630.0,28737004484.0,608.0,610.0,598.0,598.0,-3.0,84570.0,-0.004991680532445919,-0.005004180584575839,624.35,,0.3745312004919598,71084407.7,0.6707044701168692,False,Insufficient history
2021-03-09,74471341.0,43957092621.0,585.0,595.0,585.0,595.0,-3.0,119867.0,-0.0050167224080267525,-0.005029348405001973,624.05,,0.3661430388410071,69598899.05,1.0700074572515814,False,Insufficient history
2021-03-10,41735443.0,24904320192.0,601.0,601.0,593.0,597.0,2.0,54196.0,0.003361344537815114,0.003355707846972315,624.35,,0.36111742756102266,66841876.75,0.6243906519276481,False,Insufficient history
2021-03-11,55462783.0,33584884382.0,596.0,612.0,595.0,609.0,12.0,47948.0,0.0201005025125629,0.01990115431729502,624.25,,0.3474531723300076,66106918.95,0.8389860529114858,False,Insufficient history
2021-03-12,33876990.0,20780886905.0,615.0,618.0,609.0,614.0,5.0,36145.0,0.008210180623973828,0.008176660437245539,623.35,,0.3248695904487137,63764558.1,0.5312824397978537,False,Insufficient history
2021-03-15,29767904.0,18194081208.0,614.0,614.0,609.0,611.0,-3.0,26753.0,-0.004885993485342022,-0.004897968975547142,622.4,,0.3250619305722607,62264791.95,0.4780856575238263,False,Insufficient history
2021-03-16,37780820.0,23074187740.0,610.0,613.0,607.0,613.0,2.0,37573.0,0.003273322422258529,0.003267976764616013,621.7,,0.32518830709744834,61776439.3,0.6115732863224443,False,Insufficient history
2021-03-17,43942131.0,26638906800.0,612.0,612.0,602.0,604.0,0.0,68585.0,-0.014681892332789603,-0.014790738001396497,620.3,,0.3269010264611728,61106004.3,0.7191131461364428,False,Insufficient history
2021-03-18,30223846.0,18286667342.0,606.0,609.0,602.0,602.0,-2.0,31677.0,-0.0033112582781457123,-0.0033167526259939265,617.25,,0.2653621233131146,56838276.5,0.5317516269164143,False,Insufficient history
2021-03-19,74960854.0,44407634402.0,594.0,598.0,591.0,591.0,-11.0,106938.0,-0.01827242524916939,-0.018441427902722792,613.8,,0.26970701637570726,57860302.15,1.2955489552347594,False,Insufficient history
2021-03-22,35931375.0,21250445678.0,588.0,598.0,586.0,593.0,2.0,55005.0,0.0033840947546530664,0.0033783815916271906,610.85,,0.2701725362110874,57074278.7,0.6295546053041928,False,Insufficient history
2021-03-23,31933358.0,19057386513.0,597.0,603.0,593.0,594.0,1.0,36423.0,0.001686340640809414,0.0016849203649194457,608.05,,0.2710538427670847,56695342.7,0.5632448183437826,False,Insufficient history
2021-03-24,115318351.0,66559451738.0,571.0,582.0,571.0,576.0,-18.0,242138.0,-0.030303030303030276,-0.03077165866675366,604.8,,0.28465103392779545,59817858.8,1.9278247886733118,False,Insufficient history
2021-03-25,74225812.0,42594849855.0,572.0,581.0,570.0,575.0,-1.0,115951.0,-0.0017361111111111605,-0.0017376198985408486,602.3,,0.2750169657713905,59528617.55,1.2468929240235649,False,Insufficient history
2021-03-26,37937242.0,22271364837.0,582.0,592.0,580.0,590.0,15.0,49718.0,0.026086956521739202,0.025752496102414764,600.05,,0.28683093657671893,59161515.85,0.641248647113561,False,Insufficient history
2021-03-29,40573913.0,24302039570.0,599.0,602.0,596.0,599.0,9.0,44500.0,0.015254237288135686,0.015139061215684306,599.7,,0.2467973710631965,54293553.4,0.7473062722765167,False,Insufficient history
2021-03-30,34686346.0,20661203325.0,600.0,600.0,592.0,597.0,-2.0,46755.0,-0.0033388981636059967,-0.0033444847228472486,599.1,,0.24613789327684782,53138222.05,0.6527569922712535,False,Insufficient history
2021-03-31,44454672.0,26217366895.0,596.0,597.0,587.0,587.0,-10.0,70527.0,-0.01675041876046901,-0.016892293564505636,597.35,,0.23750773966425362,52302386.3,0.8499549474667086,False,Insufficient history
2021-04-01,45972766.0,27520742963.0,598.0,602.0,594.0,602.0,15.0,48170.0,0.02555366269165238,0.0252326254807245,597.4,,0.2280362454585596,50825605.2,0.9045197950736846,False,Insufficient history
2021-04-06,37664216.0,23045132094.0,615.0,616.0,608.0,610.0,8.0,42422.0,0.013289036544850585,0.013201511858535981,597.85,,0.23272693679015038,48429839.65,0.7777068078729433,False,Insufficient history
2021-04-07,28140964.0,17175949080.0,614.0,614.0,608.0,610.0,0.0,28395.0,0.0,0.0,598.45,,0.2317387865066389,47453056.35,0.5930274288855159,False,Insufficient history
2021-04-08,26658283.0,16217570357.0,606.0,613.0,603.0,613.0,3.0,32098.0,0.004918032786885185,0.0049059787688544056,599.35,,0.23094545098039643,45062403.45,0.5915859110706178,False,Insufficient history
2021-04-09,31601619.0,19344167081.0,618.0,618.0,609.0,610.0,-3.0,28920.0,-0.004893964110929905,-0.004905978768854518,600.0,608.2,0.23196338342252715,44555712.25,0.7092607749750426,False,MA20 < MA60
2021-04-12,23319822.0,14155495430.0,612.0,613.0,603.0,605.0,-5.0,33422.0,-0.008196721311475419,-0.00823049913651548,599.8,609.35,0.22292028998488736,42948564.2,0.5429709335894399,False,MA20 < MA60
2021-04-13,27386926.0,16638680378.0,604.0,613.0,604.0,605.0,0.0,30438.0,0.0,0.0,599.35,610.4,0.2206884279578374,42624061.0,0.6425226822005533,False,MA20 < MA60
2021-04-14,31144922.0,18868308243.0,608.0,612.0,600.0,612.0,7.0,41234.0,0.011570247933884392,0.011503824481484713,599.4,611.45,0.22419815945913144,42692911.9,0.7295103710178176,False,MA20 < MA60
2021-04-15,36394255.0,22332532476.0,612.0,619.0,607.0,619.0,7.0,40541.0,0.011437908496731986,0.01137299017226998,599.7,612.35,0.22754213250612693,42623583.65,0.8538525361651519,False,MA20 < MA60
2021-04-16,49952191.0,30335377876.0,610.0,611.0,603.0,610.0,-9.0,67601.0,-0.014539579967689842,-0.014646315517239189,600.0,612.85,0.22741601785774024,42924086.65,1.163733346438019,False,MA20 < MA60
2021-04-19,25234976.0,15224292755.0,605.0,607.0,601.0,603.0,-7.0,43094.0,-0.011475409836065542,-0.011541760440171458,600.05,613.1666666666666,0.23109124989800692,42674643.15,0.5913342007641369,False,MA20 < MA60
